voc_id,voc_text,order_amount,create_time
N130,客服回复太慢了等了好久才回我一句,188,2026-04-25
N131,买了三件只发了两件少发了一件,459,2026-04-22
N132,买了三件只发了两件少发了一件,99,2026-04-22
N133,买的东西物流好慢啊等了快一周了还没收到,299,2026-04-10
N134,物流显示签收了我没收到货快递员电话打不通,188,2026-04-28
N135,怎么退货啊找不到退货入口,39,2026-04-08
N136,怎么退货啊找不到退货入口,299,2026-04-12
N137,怎么退货啊找不到退货入口,299,2026-04-06
N138,衣服质量还行就是码数偏小,188,2026-04-23
N139,客服态度还行帮我解决了问题,299,2026-04-16
N140,客服回复太慢了等了好久才回我一句,299,2026-04-10
N141,收到的商品和图片颜色不太一样有点失望,39,2026-04-24
N142,收到的商品和图片颜色不太一样有点失望,299,2026-04-26
N143,优惠券用不了显示不符合条件可是明明是符合条件的,99,2026-04-05
N144,买了三件只发了两件少发了一件,459,2026-04-30
N145,优惠券用不了显示不符合条件可是明明是符合条件的,39,2026-04-12
N146,怎么退货啊找不到退货入口,39,2026-04-26
N147,买了三件只发了两件少发了一件,39,2026-04-15
N148,客服回复太慢了等了好久才回我一句,39,2026-04-08
N149,怎么退货啊找不到退货入口,39,2026-04-16
N150,优惠券用不了显示不符合条件可是明明是符合条件的,459,2026-04-22
N151,优惠券用不了显示不符合条件可是明明是符合条件的,188,2026-04-12
N152,买了三件只发了两件少发了一件,188,2026-04-05
N153,物流显示签收了我没收到货快递员电话打不通,39,2026-04-29
N154,怎么退货啊找不到退货入口,39,2026-04-30
N155,衣服质量还行就是码数偏小,459,2026-04-12
N156,买了三件只发了两件少发了一件,99,2026-04-16
N157,怎么退货啊找不到退货入口,299,2026-04-01
N158,怎么退货啊找不到退货入口,99,2026-04-10
N159,物流显示签收了我没收到货快递员电话打不通,459,2026-04-04
N160,客服回复太慢了等了好久才回我一句,299,2026-04-10
N161,买了三件只发了两件少发了一件,188,2026-04-26
N162,买的东西物流好慢啊等了快一周了还没收到,459,2026-04-13
N163,衣服质量还行就是码数偏小,99,2026-04-17
N164,衣服质量还行就是码数偏小,299,2026-04-18
N165,收到的商品和图片颜色不太一样有点失望,299,2026-04-01
N166,买的东西物流好慢啊等了快一周了还没收到,459,2026-04-19
N167,怎么退货啊找不到退货入口,299,2026-04-03
N168,买的东西物流好慢啊等了快一周了还没收到,39,2026-04-08
N169,买了三件只发了两件少发了一件,188,2026-04-12
B1-00,银手镯含银量只有60%这是欺诈吧,199,2026-04-22
B1-01,银项链掉色戴两天脖子都绿了,299,2026-04-23
B1-02,S925银戒指戴一周就发黑假的,399,2026-04-24
B1-03,银耳钉收到铜锈味检测铜镀银,499,2026-04-25
B1-04,银饰套盒有氧化斑点商家说正常,599,2026-04-22
B1-05,银手镯材质不对多个买家一样问题,199,2026-04-23
B1-06,银饰材质不符平台能不能管管,299,2026-04-24
B1-07,S925套链不是银的戴一次过敏起疹子,399,2026-04-25
B1-08,银饰手镯纯银承诺虚假宣传,499,2026-04-22
B1-09,银饰商家太黑了手镯不是纯银,599,2026-04-23
B1-10,银戒指掉色露出红色是铜的,199,2026-04-24
B1-11,银项链材质不符证书也是假的,299,2026-04-25
B1-12,两对银耳环都掉色里面是红色,399,2026-04-22
B1-13,银饰材质检测不过关退款彻查商家,499,2026-04-23
B1-14,第三次买到假银饰了平台有质量管控吗,599,2026-04-24
B2-00,台湾集运包裹一个月没到物流一直中转,299,2026-04-26
B2-01,集运包裹卡中转站客服联系不上,399,2026-04-27
B2-02,台湾物流出问题集运20多天没更新,499,2026-04-28
B2-03,三个集运包裹全部积压运力不够,599,2026-04-29
B2-04,集运台湾物流超30天多次电话在处理,699,2026-04-26
B2-05,集运包裹异常客服说协调等一周没进展,799,2026-04-27
B2-06,台湾集运商什么时候恢复都等着用,299,2026-04-28
B2-07,物流积压严重平台应该主动通知,399,2026-04-29
B2-08,集运包裹中转站卡两周没移动,499,2026-04-26
B2-09,台湾物流全部停掉四个包裹积压,599,2026-04-27
B2-10,集运台湾包裹没物流更新要求退款,699,2026-04-28
B2-11,物流积压货全部滞留损失谁承担,799,2026-04-29
B2-12,台湾集运物流问题还是海关给个说法,299,2026-04-26
B2-13,一个月集运包裹没到严重怀疑弄丢,399,2026-04-27
B2-14,集运台湾物流太差整个月包裹都卡住,499,2026-04-28
